,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mean_fit_time,9.851202487945557,17.2757360458374,6.895734405517578,7.051381635665893,6.60028042793274,76.82454171180726,12.957947826385498,16.247746181488036,8.930657863616943,57.50088791847229,6.24766092300415,11.171850347518921,15.73444938659668,9.438086223602294,11.028578662872315,21.694695377349852,6.364870834350586,7.218127107620239,38.18043403625488,11.791916608810425,19.17224702835083,34.682962322235106,12.194755935668946,16.762322330474852,6.686851501464844,6.787944030761719,6.696276378631592,120.61164865493774,18.748268842697144,7.763764333724976,82.42706699371338,8.832194900512695,6.441653728485107,9.889275550842285,16.072762727737427,8.838548803329468,10.35052547454834,6.805463457107544,37.125278329849245,14.332462406158447,11.055099964141846,9.210384368896484,7.1689270496368405,7.063485813140869,8.138868522644042,7.906458950042724,98.00735034942628,9.110972452163697,13.266073656082153,10.717748594284057,53.35866594314575,8.418998908996581,20.761677694320678,6.870303726196289,11.162131929397583,13.962647914886475,6.411291694641113,8.44943118095398,7.090338611602784,10.276745939254761,12.697788095474243,9.714112997055054,11.012163448333741,6.27627010345459,6.672443485260009,7.945512294769287,11.37147855758667,108.61028180122375,11.189238786697388,97.2151755809784,18.936359453201295,58.42674369812012,15.076900196075439,11.130341815948487,6.73140287399292,6.26023588180542,57.853307247161865,25.030173778533936,11.707854890823365,7.753817701339722,6.716266870498657,8.969822263717651,11.60678334236145,6.23100004196167,29.996335744857788,24.847416734695436,15.488782453536988,6.873864984512329,6.6451744556427,11.134680032730103,38.73290123939514,6.803745746612549,33.71982083320618,11.88957085609436,10.042882776260376,11.341865634918213,6.145010471343994,8.5171790599823,14.640455865859986,6.772379970550537
std_fit_time,0.6592771069667903,4.945692816713269,1.0370084652896598,0.9389770989634869,0.367180061532576,55.75532035269657,2.3572520797563112,4.555629573357963,4.19056898729102,28.686607005497528,0.12085449217337306,3.6366637634218986,6.777022062982706,2.8659441405793578,2.7719116372545236,12.04013020130528,0.8368241152818398,1.5893935994490402,43.3518580512398,4.025848441789984,12.048197526588462,42.54993386284171,5.828607433273488,6.697799398567109,0.6511605745911102,0.34022514492764383,0.5686158992987863,0.7312684076757686,5.855083338430889,1.7371624065538784,54.68139810188461,1.5495732804992572,1.2562029305261442,2.6930424504834565,7.538797045912483,3.3760238964437406,4.15983506120097,0.15893975148949416,38.350424286034055,6.511375806604283,2.4804251926664995,2.786775116919516,0.5210376841059985,1.0264933694763596,1.0432053737770026,2.497018260976284,40.700268681765984,2.6261042748597174,5.627121963758622,4.656098964825738,53.774706731526315,2.125125590039864,14.424060803466189,0.18510121501500015,3.556165747226117,5.654056483858667,0.5086322359450488,3.2472225853733083,1.2054090202793513,3.7030935844927737,7.897294765481838,3.3909087250634355,2.2469611886540832,0.5183542179229905,0.3236753646600628,1.8802898404494237,1.9379844476057324,24.414580428539672,3.530419839551047,36.54381327314312,6.749690301317359,57.42927392479599,6.5472937222975744,4.357865026706975,0.608491503276982,0.34384262843539776,50.63887884588512,23.143243460558562,4.769148305953018,1.704874985178833,0.1486685751838143,1.9452166398191577,5.112371614669225,0.21324738827126064,25.069426715074673,26.35274548413351,8.72765731380319,0.23111258799943643,0.4889484336629574,3.556273174832878,40.40225534195805,0.30037462685155947,30.249325868497433,2.312956654729397,2.113713586468788,5.808128167658126,0.17905636647389067,2.4527870567411307,4.103851300517343,0.6485879806155198
mean_score_time,0.028826093673706053,0.02740163803100586,0.029037666320800782,0.02896595001220703,0.02743220329284668,0.03114166259765625,0.027276992797851562,0.029741239547729493,0.029788684844970704,0.029314470291137696,0.02785654067993164,0.027668571472167967,0.028598833084106445,0.027319908142089844,0.028794240951538087,0.028957843780517578,0.027242422103881836,0.027253103256225587,0.027169561386108397,0.027730703353881836,0.029021501541137695,0.028563451766967774,0.029081058502197266,0.027676486968994142,0.028511857986450194,0.028774785995483398,0.027437543869018553,0.03086056709289551,0.03142943382263184,0.0289642333984375,0.02971358299255371,0.027244710922241212,0.027864885330200196,0.028640317916870116,0.0277834415435791,0.02822737693786621,0.026566123962402342,0.026958560943603514,0.027398443222045897,0.027895069122314452,0.029263925552368165,0.02676072120666504,0.02863035202026367,0.030197763442993165,0.029304027557373047,0.028438663482666014,0.028552722930908204,0.028552436828613283,0.027266263961791992,0.02919626235961914,0.028287267684936522,0.02904982566833496,0.027681589126586914,0.028144979476928712,0.02798466682434082,0.028738784790039062,0.029247760772705078,0.02838754653930664,0.02884974479675293,0.028622198104858398,0.028514814376831055,0.027546501159667967,0.02995290756225586,0.028125429153442384,0.027797460556030273,0.02825322151184082,0.027760744094848633,0.02950592041015625,0.026331233978271484,0.029388618469238282,0.029367971420288085,0.03034830093383789,0.02711973190307617,0.028133344650268555,0.028172779083251952,0.027876901626586913,0.027702474594116212,0.02767314910888672,0.028449153900146483,0.02773909568786621,0.028217124938964843,0.02962150573730469,0.027680444717407226,0.026325559616088866,0.02996678352355957,0.028836870193481447,0.028630781173706054,0.027901077270507814,0.028623008728027345,0.02752261161804199,0.025766706466674803,0.03005189895629883,0.02702054977416992,0.029157400131225586,0.02836122512817383,0.028502464294433594,0.028032970428466798,0.02950005531311035,0.023021221160888672,0.025137615203857423
std_score_time,0.0028609562929653816,0.0013833424038011987,0.0017961547140984673,0.003931050920066306,0.0021081580256996245,0.002270111810651793,0.0017731452637057296,0.00346011256547609,0.00330024105325164,0.002847499026966279,0.0014074718757670622,0.0011227297574075944,0.002361572381365103,0.000987253548784047,0.0014496865707472855,0.002525054884826259,0.0007170058297411018,0.0004533687206880964,0.0020859859969483492,0.001658528249072199,0.003052936844013937,0.0017516529275941454,0.0025903170807847543,0.0016672426317101282,0.0018699678218079177,0.002496063948349411,0.0017035258813849852,0.0010455539289695056,0.0029325143091020237,0.0023152896268004318,0.002962159274947289,0.00041472410117851174,0.0010510777785830625,0.0014770173132938147,0.00167130583463071,0.0012922962670766825,0.0013778051930580747,0.0008116970046143279,0.0008008989699474418,0.0010269405381130759,0.0019116324800206887,0.0008767825219987067,0.0014569953200234329,0.003019441477201809,0.0021412176591736236,0.0016697798445548327,0.002604661508266989,0.0016493824707608424,0.0021527812866756293,0.0025742254687458987,0.0015249816715300075,0.001962790160616565,0.002084557253488474,0.0014287882805228314,0.0015517076256231414,0.002989794213129198,0.0017740524834521417,0.0018366077962867977,0.002076552132438801,0.0016047808971376546,0.0011533453596258311,0.001752829788918691,0.0017936794327136128,0.00101059866113069,0.000692049507122989,0.0013370480125836218,0.0009318411234157352,0.003195397904186614,0.001314709298015476,0.0027354996350948415,0.001961547192878949,0.002578609905422312,0.0008648619362590735,0.001575156325242485,0.0004908053946446286,0.0024972481027482132,0.003100271820217071,0.001639415889726607,0.003177464255900376,0.001107237611930311,0.002697166729012759,0.002123893283858704,0.0011519597078637357,0.0008722564827707207,0.001990754980264789,0.0011064205857885445,0.0015615754979787823,0.001009564577180995,0.0017379344459723558,0.001591291769653389,0.005745941675495086,0.003474325175755874,0.006424380712243781,0.0024897229962687656,0.001671810543090591,0.003366813166049979,0.0019137580909238542,0.0017825357590135944,0.006150290932224792,0.005355928403139087
param_lambd,0.005166618951844386,0.00021701130033392312,9.662068742486021e-06,9.563759526973395e-09,4.910303832962878e-09,0.0007138355681665908,1.0951728359885041e-10,0.013372407932858753,0.001650263044504511,0.1505709620018308,2.663444675313886e-05,5.412620779688678e-07,2.620183721934055e-06,0.0001505461954644426,0.0003191330767951848,0.011277996833787813,0.12203623711946869,8.027743594569378e-10,1.3798873033847226e-09,2.944172107010872e-10,2.9913109392181192e-05,9.760574862421091e-09,3.2849320792690375e-07,9.112070449237825e-08,1.7993530249425496e-07,8.419618999578504e-07,0.0162576054036371,6.936565426084559e-07,0.7520639112807929,0.01824855321842153,9.41274909419874e-05,2.2160496581692638e-05,2.470686670849632e-10,6.253611557158513e-10,2.0285845794754618e-07,2.509528238209621e-10,1.4101610615272572e-07,2.9071771788912495e-07,0.06297261746435437,0.06039019434654358,0.00011370397405663521,9.514073005677522e-05,1.020265237015846e-07,1.0730639541716478e-07,3.7651465656815254e-05,5.640563258266207e-06,4.3904658852084887e-10,2.495045307493994e-07,0.5899392058481582,1.5230987257610748e-07,6.044554515661046e-05,4.79703332343703e-10,0.006599198413553392,7.24802696740879e-05,3.2104352322901774e-07,9.937993863583394e-08,0.0005428367639569085,3.1972507766932044e-10,1.2040311636147173e-09,0.07215575274027416,1.5406127644219312e-08,1.1716444615813461e-09,4.987155782843177e-06,2.993656197220914e-09,0.0002823067515341688,3.062845414739702e-08,1.8523942861085494e-08,0.16685063699929328,4.650495685027824e-05,1.4079921916536676e-10,5.373893314539571e-05,4.126421643929954e-05,6.949575625756449e-05,3.0572750602647552e-09,0.0008687616938982253,2.4891575030717127e-06,1.1743195543015292e-05,7.962828226193053e-10,4.479850690432063e-05,9.572085565877133e-09,9.09992100319423e-08,2.0269750533914437e-10,0.0028095759035772967,7.098000010513793e-07,0.02413310525453397,0.006716579853513383,0.00010755479048785503,0.00014367088279989166,0.0031962894761661535,3.847176067112312e-06,6.921638331710504e-06,5.599367190516021e-09,0.030735530825615916,3.689566591873742e-06,1.4699247738001484e-09,8.84281231586868e-10,5.900027612337215e-10,5.467166678552352e-05,0.0003608007462640158,3.2518838858676777e-07
param_learning_rate,0.0011002817226254387,0.031449066951230925,0.002815744802026464,0.03319414023327545,0.0015020335327164723,0.08068386469121057,0.010577536357318944,0.016790055575223648,0.0038348831582409944,0.026862817821882146,0.0019245982882901897,0.022298067722039308,0.0073795178345051025,0.01062371680158855,0.01592494374309189,0.011048270653924223,0.0043498289361375364,0.003993926913473603,0.045432083368798275,0.017888515294488292,0.04350848803179695,0.05172501257443307,0.03230690711567293,0.05859667310285205,0.002138118619075974,0.0015378739805285133,0.0020058758020942793,0.07736088412595526,0.008177284244262357,0.003182352389301463,0.06392393786075594,0.015149654411150296,0.005180402654827548,0.004082440245310291,0.03529072597345031,0.007227437701531979,0.018749180329486484,0.0012195362455619196,0.03361097991091421,0.006839404466795511,0.01063979486412886,0.0033452711277994767,0.0011240860652280795,0.003048960168579008,0.013521162734047592,0.0038511989327533872,0.09070647534008355,0.009774561011505761,0.007612856609524045,0.010954535617230405,0.051034927364915175,0.008493009611197855,0.02736564071365125,0.0011862844194859294,0.013377697427255874,0.010584450264644775,0.0020815529688043566,0.004738400594587564,0.002279321657870556,0.005379351739729841,0.03198838691931288,0.03084654173788819,0.015722128537328774,0.00233383228950658,0.0012509962634731236,0.012156737314206838,0.005791926870967097,0.07091102217600673,0.0116665318220445,0.09032303596609419,0.038327808905491804,0.05684214827102923,0.026163729639318248,0.007192857856030868,0.001618972564086698,0.002149830873282959,0.04345819940026926,0.03982332346815481,0.015090214856451692,0.007451376549375587,0.0011888179445011156,0.008057679711177348,0.013019395271598429,0.0021684309386673806,0.015779876318651735,0.04977581318322789,0.03648557832748222,0.0011023776061725064,0.0022494910343582963,0.010622956802764606,0.048839542725038286,0.0010697190998471453,0.030573781295537925,0.006820195347200715,0.004757275097694144,0.027018531796655882,0.0025816687434546946,0.003869573590845084,0.04047032532114324,0.001537732360513386
params,"{'lambd': 0.005166618951844386, 'learning_rate': 0.0011002817226254387}","{'lambd': 0.00021701130033392312, 'learning_rate': 0.031449066951230925}","{'lambd': 9.662068742486021e-06, 'learning_rate': 0.002815744802026464}","{'lambd': 9.563759526973395e-09, 'learning_rate': 0.03319414023327545}","{'lambd': 4.910303832962878e-09, 'learning_rate': 0.0015020335327164723}","{'lambd': 0.0007138355681665908, 'learning_rate': 0.08068386469121057}","{'lambd': 1.0951728359885041e-10, 'learning_rate': 0.010577536357318944}","{'lambd': 0.013372407932858753, 'learning_rate': 0.016790055575223648}","{'lambd': 0.001650263044504511, 'learning_rate': 0.0038348831582409944}","{'lambd': 0.1505709620018308, 'learning_rate': 0.026862817821882146}","{'lambd': 2.663444675313886e-05, 'learning_rate': 0.0019245982882901897}","{'lambd': 5.412620779688678e-07, 'learning_rate': 0.022298067722039308}","{'lambd': 2.620183721934055e-06, 'learning_rate': 0.0073795178345051025}","{'lambd': 0.0001505461954644426, 'learning_rate': 0.01062371680158855}","{'lambd': 0.0003191330767951848, 'learning_rate': 0.01592494374309189}","{'lambd': 0.011277996833787813, 'learning_rate': 0.011048270653924223}","{'lambd': 0.12203623711946869, 'learning_rate': 0.0043498289361375364}","{'lambd': 8.027743594569378e-10, 'learning_rate': 0.003993926913473603}","{'lambd': 1.3798873033847226e-09, 'learning_rate': 0.045432083368798275}","{'lambd': 2.944172107010872e-10, 'learning_rate': 0.017888515294488292}","{'lambd': 2.9913109392181192e-05, 'learning_rate': 0.04350848803179695}","{'lambd': 9.760574862421091e-09, 'learning_rate': 0.05172501257443307}","{'lambd': 3.2849320792690375e-07, 'learning_rate': 0.03230690711567293}","{'lambd': 9.112070449237825e-08, 'learning_rate': 0.05859667310285205}","{'lambd': 1.7993530249425496e-07, 'learning_rate': 0.002138118619075974}","{'lambd': 8.419618999578504e-07, 'learning_rate': 0.0015378739805285133}","{'lambd': 0.0162576054036371, 'learning_rate': 0.0020058758020942793}","{'lambd': 6.936565426084559e-07, 'learning_rate': 0.07736088412595526}","{'lambd': 0.7520639112807929, 'learning_rate': 0.008177284244262357}","{'lambd': 0.01824855321842153, 'learning_rate': 0.003182352389301463}","{'lambd': 9.41274909419874e-05, 'learning_rate': 0.06392393786075594}","{'lambd': 2.2160496581692638e-05, 'learning_rate': 0.015149654411150296}","{'lambd': 2.470686670849632e-10, 'learning_rate': 0.005180402654827548}","{'lambd': 6.253611557158513e-10, 'learning_rate': 0.004082440245310291}","{'lambd': 2.0285845794754618e-07, 'learning_rate': 0.03529072597345031}","{'lambd': 2.509528238209621e-10, 'learning_rate': 0.007227437701531979}","{'lambd': 1.4101610615272572e-07, 'learning_rate': 0.018749180329486484}","{'lambd': 2.9071771788912495e-07, 'learning_rate': 0.0012195362455619196}","{'lambd': 0.06297261746435437, 'learning_rate': 0.03361097991091421}","{'lambd': 0.06039019434654358, 'learning_rate': 0.006839404466795511}","{'lambd': 0.00011370397405663521, 'learning_rate': 0.01063979486412886}","{'lambd': 9.514073005677522e-05, 'learning_rate': 0.0033452711277994767}","{'lambd': 1.020265237015846e-07, 'learning_rate': 0.0011240860652280795}","{'lambd': 1.0730639541716478e-07, 'learning_rate': 0.003048960168579008}","{'lambd': 3.7651465656815254e-05, 'learning_rate': 0.013521162734047592}","{'lambd': 5.640563258266207e-06, 'learning_rate': 0.0038511989327533872}","{'lambd': 4.3904658852084887e-10, 'learning_rate': 0.09070647534008355}","{'lambd': 2.495045307493994e-07, 'learning_rate': 0.009774561011505761}","{'lambd': 0.5899392058481582, 'learning_rate': 0.007612856609524045}","{'lambd': 1.5230987257610748e-07, 'learning_rate': 0.010954535617230405}","{'lambd': 6.044554515661046e-05, 'learning_rate': 0.051034927364915175}","{'lambd': 4.79703332343703e-10, 'learning_rate': 0.008493009611197855}","{'lambd': 0.006599198413553392, 'learning_rate': 0.02736564071365125}","{'lambd': 7.24802696740879e-05, 'learning_rate': 0.0011862844194859294}","{'lambd': 3.2104352322901774e-07, 'learning_rate': 0.013377697427255874}","{'lambd': 9.937993863583394e-08, 'learning_rate': 0.010584450264644775}","{'lambd': 0.0005428367639569085, 'learning_rate': 0.0020815529688043566}","{'lambd': 3.1972507766932044e-10, 'learning_rate': 0.004738400594587564}","{'lambd': 1.2040311636147173e-09, 'learning_rate': 0.002279321657870556}","{'lambd': 0.07215575274027416, 'learning_rate': 0.005379351739729841}","{'lambd': 1.5406127644219312e-08, 'learning_rate': 0.03198838691931288}","{'lambd': 1.1716444615813461e-09, 'learning_rate': 0.03084654173788819}","{'lambd': 4.987155782843177e-06, 'learning_rate': 0.015722128537328774}","{'lambd': 2.993656197220914e-09, 'learning_rate': 0.00233383228950658}","{'lambd': 0.0002823067515341688, 'learning_rate': 0.0012509962634731236}","{'lambd': 3.062845414739702e-08, 'learning_rate': 0.012156737314206838}","{'lambd': 1.8523942861085494e-08, 'learning_rate': 0.005791926870967097}","{'lambd': 0.16685063699929328, 'learning_rate': 0.07091102217600673}","{'lambd': 4.650495685027824e-05, 'learning_rate': 0.0116665318220445}","{'lambd': 1.4079921916536676e-10, 'learning_rate': 0.09032303596609419}","{'lambd': 5.373893314539571e-05, 'learning_rate': 0.038327808905491804}","{'lambd': 4.126421643929954e-05, 'learning_rate': 0.05684214827102923}","{'lambd': 6.949575625756449e-05, 'learning_rate': 0.026163729639318248}","{'lambd': 3.0572750602647552e-09, 'learning_rate': 0.007192857856030868}","{'lambd': 0.0008687616938982253, 'learning_rate': 0.001618972564086698}","{'lambd': 2.4891575030717127e-06, 'learning_rate': 0.002149830873282959}","{'lambd': 1.1743195543015292e-05, 'learning_rate': 0.04345819940026926}","{'lambd': 7.962828226193053e-10, 'learning_rate': 0.03982332346815481}","{'lambd': 4.479850690432063e-05, 'learning_rate': 0.015090214856451692}","{'lambd': 9.572085565877133e-09, 'learning_rate': 0.007451376549375587}","{'lambd': 9.09992100319423e-08, 'learning_rate': 0.0011888179445011156}","{'lambd': 2.0269750533914437e-10, 'learning_rate': 0.008057679711177348}","{'lambd': 0.0028095759035772967, 'learning_rate': 0.013019395271598429}","{'lambd': 7.098000010513793e-07, 'learning_rate': 0.0021684309386673806}","{'lambd': 0.02413310525453397, 'learning_rate': 0.015779876318651735}","{'lambd': 0.006716579853513383, 'learning_rate': 0.04977581318322789}","{'lambd': 0.00010755479048785503, 'learning_rate': 0.03648557832748222}","{'lambd': 0.00014367088279989166, 'learning_rate': 0.0011023776061725064}","{'lambd': 0.0031962894761661535, 'learning_rate': 0.0022494910343582963}","{'lambd': 3.847176067112312e-06, 'learning_rate': 0.010622956802764606}","{'lambd': 6.921638331710504e-06, 'learning_rate': 0.048839542725038286}","{'lambd': 5.599367190516021e-09, 'learning_rate': 0.0010697190998471453}","{'lambd': 0.030735530825615916, 'learning_rate': 0.030573781295537925}","{'lambd': 3.689566591873742e-06, 'learning_rate': 0.006820195347200715}","{'lambd': 1.4699247738001484e-09, 'learning_rate': 0.004757275097694144}","{'lambd': 8.84281231586868e-10, 'learning_rate': 0.027018531796655882}","{'lambd': 5.900027612337215e-10, 'learning_rate': 0.0025816687434546946}","{'lambd': 5.467166678552352e-05, 'learning_rate': 0.003869573590845084}","{'lambd': 0.0003608007462640158, 'learning_rate': 0.04047032532114324}","{'lambd': 3.2518838858676777e-07, 'learning_rate': 0.001537732360513386}"
split0_test_score,0.6555807916937054,0.7164179104477612,0.6938676184295912,0.7100908500973394,0.676995457495133,0.7986696950032447,0.7053861129136924,0.70425048669695,0.6972744970798183,0.6877027903958468,0.6924075275794939,0.7130110317975341,0.7112264763140818,0.7084685269305646,0.7047371836469825,0.7060350421804024,0.5,0.6975989617131733,0.7121998702141467,0.7031148604802077,0.709279688513952,0.6966255678131084,0.6925697598961713,0.7177157689811811,0.6907852044127191,0.6683971447112265,0.667910447761194,0.813595068137573,0.5,0.6393575600259571,0.7182024659312135,0.7134977287475666,0.6998702141466581,0.7029526281635302,0.7233939000648929,0.7016547696301103,0.7169046073977936,0.6795911745619727,0.6636924075275795,0.691434133679429,0.7073329007138222,0.6987345879299156,0.6758598312783907,0.6786177806619078,0.7074951330304997,0.6945165476963011,0.8098637248539909,0.7036015574302401,0.5,0.709604153147307,0.799480856586632,0.7060350421804024,0.7154445165476963,0.6760220635950681,0.708306294613887,0.6995457495133031,0.6784555483452304,0.708306294613887,0.6851070733290071,0.5934458144062297,0.7118754055807917,0.7109020116807268,0.7091174561972745,0.6768332251784556,0.6815379623621025,0.6977611940298507,0.7044127190136276,0.6883517196625568,0.704574951330305,0.5,0.7180402336145361,0.7939649578195976,0.7156067488643738,0.7055483452303699,0.6852693056456847,0.6941920830629461,0.7941271901362752,0.7177157689811811,0.7044127190136276,0.7047371836469825,0.6727774172615185,0.7050616482803375,0.7021414665801428,0.6904607397793641,0.7061972744970798,0.6963011031797534,0.7057105775470474,0.6713173264114212,0.6896495781959766,0.7120376378974692,0.7764438676184295,0.6636924075275795,0.6959766385463985,0.700194678780013,0.6964633354964309,0.7099286177806619,0.6925697598961713,0.7060350421804024,0.7076573653471772,0.6758598312783907
split1_test_score,0.6721284879948086,0.6972744970798183,0.6925697598961713,0.6953277092796886,0.6810512654120701,0.8144062297209604,0.7018170019467878,0.6993835171966256,0.6902985074626866,0.6766709928617781,0.6808890330953926,0.7036015574302401,0.6995457495133031,0.6789422452952628,0.6997079818299805,0.7040882543802726,0.5,0.7024659312134978,0.7100908500973394,0.7040882543802726,0.6948410123296561,0.7167423750811162,0.70425048669695,0.6997079818299805,0.6854315379623621,0.6739130434782609,0.6555807916937054,0.826735885788449,0.5,0.6502271252433485,0.7071706683971447,0.6984101232965607,0.6909474367293965,0.7029526281635302,0.7164179104477612,0.6958144062297209,0.7055483452303699,0.6747242050616483,0.6928942245295263,0.6430889033095393,0.6980856586632057,0.6883517196625568,0.6714795587280986,0.691434133679429,0.6984101232965607,0.6961388708630759,0.8264114211550941,0.6984101232965607,0.5,0.7023036988968202,0.7912070084360805,0.6979234263465283,0.7018170019467878,0.6716417910447762,0.7019792342634653,0.700519143413368,0.6854315379623621,0.7034393251135627,0.6865671641791045,0.6758598312783907,0.6987345879299156,0.6992212848799481,0.7023036988968202,0.6844581440622972,0.6718040233614536,0.6972744970798183,0.6985723556132382,0.6834847501622323,0.6958144062297209,0.7284231018818949,0.7128487994808566,0.7011680726800779,0.6747242050616483,0.6937053861129137,0.6753731343283582,0.686080467229072,0.7952628163530175,0.7310188189487346,0.6979234263465283,0.6984101232965607,0.6752109020116808,0.7055483452303699,0.6959766385463985,0.6872160934458144,0.6992212848799481,0.6659636599610642,0.6846203763789747,0.6654769630110318,0.6750486696950032,0.7024659312134978,0.7074951330304997,0.6731018818948734,0.6961388708630759,0.6865671641791045,0.6980856586632057,0.7112264763140818,0.6855937702790396,0.6901362751460091,0.7013303049967553,0.6808890330953926
split2_test_score,0.6725089256734826,0.7147030185004869,0.6947419668938656,0.7101590392729633,0.6892242778318728,0.804284323271665,0.6989613761765661,0.703343070431678,0.7020447906523856,0.6755923401493021,0.6777020447906524,0.7093476144109055,0.7083739045764362,0.7031807854592664,0.7101590392729633,0.6924699772801038,0.5,0.6955533917559235,0.7143784485556638,0.7090230444660824,0.7202207075624797,0.7082116196040247,0.7031807854592664,0.7104836092177864,0.6890619928594612,0.6880882830249919,0.6851671535215839,0.8300876338851022,0.5,0.6903602726387537,0.8143459915611815,0.7061019149626745,0.6582278481012658,0.698636806231743,0.7070756247971438,0.7025316455696202,0.7095098993833171,0.6892242778318728,0.6984745212593314,0.6936059720869847,0.7059396299902629,0.6991236611489776,0.6637455371632587,0.6921454073352807,0.7048036351833821,0.6937682570593963,0.7142161635832522,0.70772476468679,0.5,0.7044790652385589,0.7096721843557287,0.7035053554040895,0.70772476468679,0.6880882830249919,0.7080493346316131,0.7012333657903278,0.6952288218111002,0.6997728010386238,0.673482635507952,0.6906848425835768,0.7119441739694904,0.7108081791626095,0.7041544952937357,0.6916585524180461,0.6841934436871145,0.710645894190198,0.6958779617007466,0.6918208373904576,0.7065887698799092,0.8278156442713405,0.7088607594936709,0.7158390133073678,0.7134047387211944,0.7038299253489126,0.6656929568321973,0.6819214540733528,0.7130801687763713,0.7041544952937357,0.7049659201557936,0.7026939305420318,0.6614735475494969,0.7035053554040895,0.7051282051282052,0.6910094125283999,0.7048036351833821,0.7116196040246673,0.7249269717624148,0.6407010710808179,0.6673158065563128,0.7061019149626745,0.7419668938656281,0.6668289516390782,0.7035053554040895,0.7098344693281402,0.6994482310938007,0.7039922103213242,0.6976630963972736,0.6987990912041545,0.7161635832521909,0.6936059720869847
