,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mean_fit_time,2.7327881813049317,1.4620110511779785,0.07180719375610352,0.05036792755126953,0.010554313659667969,0.06269102096557617,0.05289793014526367,0.0667348861694336,0.012910699844360352,0.06432223320007324,0.062190008163452146,0.09501504898071289,0.02391195297241211,0.06249957084655762,0.06065177917480469,0.06427736282348633,0.3662856101989746,0.011911916732788085,0.2637413501739502,0.058071470260620116,0.0744433879852295,0.013359975814819337,0.05732197761535644,0.0563718318939209,0.07218303680419921,0.060215091705322264,0.04974508285522461,0.07390308380126953,0.310761833190918,0.23218002319335937,0.05770363807678223,0.06072282791137695,0.09670977592468262,0.013815784454345703,0.0272491455078125,0.07527403831481934,0.3137995719909668,0.0724578857421875,0.12997307777404785,0.0671875,0.06166973114013672,0.09484696388244629,0.05549163818359375,0.06438665390014649,0.01173086166381836,0.0951986312866211,0.06732006072998047,0.012576627731323241,0.04373173713684082,0.06350417137145996,0.0700566291809082,0.06326990127563477,0.06147079467773438,0.03727269172668457,0.013442373275756836,0.08712124824523926,0.02733268737792969,0.0700314998626709,0.059626007080078126,0.013588857650756837,0.10052504539489746,0.4036226749420166,0.07004437446594239,0.07405829429626465,0.012518548965454101,0.2991034030914307,0.06919994354248046,0.07418408393859863,0.012596702575683594,0.014680051803588867,0.010785102844238281,0.07060003280639648,0.05057511329650879,0.06400189399719239,0.6196476936340332,0.05325140953063965,0.07598366737365722,0.05233898162841797,0.34479460716247556,0.0439298152923584,0.009807968139648437,0.012203359603881836,0.022501707077026367,0.3915926456451416,0.04723358154296875,0.06422715187072754,0.05963177680969238,0.012292432785034179,0.012507820129394531,0.0617213249206543,0.05373716354370117,0.05325055122375488,0.015076875686645508,0.015818214416503905,0.05238528251647949,0.05656251907348633,0.3683583736419678,0.07577672004699706,0.06533331871032715,0.19368305206298828
std_fit_time,0.0680072986112754,1.1864734473451162,0.014338118406968471,0.009759457627937663,0.001596998276946676,0.012079274891887478,0.014460148400806913,0.01815662105223225,0.001173141864649628,0.015651082712242432,0.004107043011276375,0.018273030809727638,0.02134006557572391,0.01872395471676607,0.013496511953437493,0.008608371823788456,0.02866573024348601,0.001877988980500533,0.014241216059132561,0.017280825610006136,0.025876186312329973,0.002264174989128015,0.013651276044499666,0.005765830451682326,0.014888573385442246,0.003509191397117513,0.004864128983047947,0.011121778185755568,0.005860706714839927,0.014728160770274404,0.007071731730620671,0.011993217275263965,0.02038287812611643,0.0022534363772997385,0.02328097892591927,0.01280006122164319,0.011448052046327834,0.01768824359098254,0.024524941518839893,0.01857346422554187,0.01246499651223727,0.03964820854612837,0.007298702759395555,0.017706609224527985,0.0020105416210804464,0.047405525710190695,0.016418949351725665,0.003565717700526245,0.02593909390788345,0.004538416458620943,0.007981514653505781,0.0018126473795849877,0.0172934111899597,0.023195846766472523,0.0031300387911384654,0.013843356944293351,0.02575451054719699,0.005797141769746539,0.019988709937606267,0.0008127641649741212,0.046056591782064164,0.030674554014894082,0.02219603454558588,0.029192870189156013,0.0010284495371136726,0.02413197504186943,0.01985096695051973,0.01595893940886638,0.0030314133397950937,0.0007803702051373657,0.0010121874034809155,0.005049309537147927,0.007852411426069149,0.006798329606232503,0.49573415711096275,0.004642874053874083,0.016873086563574134,0.009662179173819752,0.027546667862240328,0.026231290419449996,0.0007513832175624524,0.002741815378769045,0.015697221895097927,0.03553521143882628,0.0017406026111879498,0.006243486109588185,0.014063329864771714,0.00024641860171877955,0.002148829757367751,0.009622262229211854,0.00124992300220815,0.009321658808455206,0.0026441694724545182,0.0015688811918707988,0.019407617333577005,0.007742784039406414,0.011466911985168143,0.03329345357212232,0.006431628347036123,0.09057507506339403
mean_score_time,0.0007251262664794922,0.0004008769989013672,0.0006552696228027344,0.0005769729614257812,0.00031185150146484375,0.0006103992462158203,0.0006237030029296875,0.0007248878479003906,0.0003723621368408203,0.0006328105926513671,0.0006435871124267578,0.0006969451904296875,0.0003998279571533203,0.0006988048553466797,0.000643157958984375,0.000592184066772461,0.000713348388671875,0.0003310203552246094,0.0007061958312988281,0.0007048606872558594,0.0006265640258789062,0.0003587245941162109,0.0006870269775390625,0.0006366252899169921,0.0006911277770996094,0.0006907463073730468,0.0006423473358154296,0.0006247520446777344,0.0006272792816162109,0.0006649971008300781,0.0006413459777832031,0.0006319999694824219,0.0006862640380859375,0.0003211498260498047,0.00038418769836425783,0.0006909370422363281,0.0006710052490234375,0.0006534099578857422,0.0007669448852539063,0.0006817340850830078,0.0005783557891845704,0.0006064414978027344,0.0005922794342041015,0.0006618499755859375,0.0003386497497558594,0.0005852222442626953,0.0006870269775390625,0.00030918121337890624,0.0005632877349853515,0.0007091045379638671,0.0007410049438476562,0.000660562515258789,0.0006424903869628907,0.00046267509460449217,0.0004294872283935547,0.0006348133087158203,0.00041208267211914065,0.0007071018218994141,0.0006161212921142578,0.0003282070159912109,0.0006323814392089844,0.0006277561187744141,0.0007688522338867188,0.0007441043853759766,0.00032253265380859374,0.0006677150726318359,0.0006016731262207031,0.0006802558898925781,0.00032887458801269533,0.0003384590148925781,0.000323486328125,0.0005872249603271484,0.0007709026336669922,0.0006520271301269532,0.0005343437194824218,0.0005809783935546875,0.0006133556365966797,0.000585174560546875,0.0006714820861816406,0.00048542022705078125,0.0003459930419921875,0.0003176689147949219,0.0004433631896972656,0.0006642341613769531,0.0006142616271972656,0.0006412029266357422,0.0005886077880859375,0.0003016948699951172,0.00031414031982421873,0.0006770610809326172,0.0005795478820800782,0.0006512641906738281,0.00039491653442382815,0.00034399032592773436,0.0005234241485595703,0.0006274700164794922,0.0007050037384033203,0.0006911277770996094,0.0006588935852050781,0.0003079891204833984
std_score_time,5.165724632055312e-05,8.720967068961661e-05,0.00012841275133953811,3.488284623567866e-05,2.3235722333079178e-05,2.5484882999202994e-05,4.59961285098718e-05,0.0002179107519602138,3.557358602943861e-05,6.518686603298972e-05,7.504053488845197e-05,5.5430017444015555e-05,0.00019001832121601537,6.90174636482179e-05,6.275811061885302e-05,6.225919451615644e-05,3.227169631426554e-05,3.33679045840602e-05,5.831895842704115e-05,5.739158631390384e-05,3.3227031442519174e-05,3.149457991740932e-05,6.0869827467068e-05,6.570089324938132e-05,3.8287203056596854e-05,7.332995862771051e-05,3.714540038334737e-05,6.769267361388178e-05,7.82722058593138e-05,6.566956608841784e-05,5.931957740739489e-05,4.1276143776316545e-05,7.765679251745295e-05,1.700644922268582e-05,0.00012232993129940377,4.415651117364627e-05,6.167969281053204e-05,8.807643130669259e-05,5.742679586722261e-05,6.787766479039268e-05,3.404610631172191e-05,6.68733472003092e-05,6.341941374581091e-05,9.393437861378529e-05,1.5890629597351886e-05,8.793937346125462e-05,9.964671356227238e-05,1.6141061063941027e-05,0.00021148174694034943,2.335791577116959e-05,8.145852592083244e-05,2.752866443010403e-05,7.279921477356776e-05,0.00015514104874575922,0.00018161290778695102,3.824448044416613e-05,0.0001282291810823036,4.9079586516112976e-05,0.0001458539098475812,1.8133359161473214e-05,6.495593314534758e-05,4.181184898743325e-05,2.6279049107667538e-05,5.921695510709498e-05,1.9592379483622763e-05,0.00010413282922906021,2.3169379637237877e-05,4.4044733583722915e-05,8.8947706045309e-06,1.304966620109354e-05,1.3343263574518359e-05,3.4006212863303054e-05,0.00012212493166282288,7.185579998613209e-05,0.00017903920289170233,3.148512101206569e-05,4.269559547756661e-05,4.7764376129944674e-05,5.6729314907805336e-05,0.00014536339903829259,2.271787541712618e-05,1.1608414296887664e-05,0.00021923215695314715,8.485303497196155e-05,1.1145756202033322e-05,8.332456125847492e-05,1.6580225226391987e-05,1.7817127453852454e-05,3.689364004440802e-05,7.986608181361247e-05,1.6050653233566527e-05,5.791198574194934e-05,4.285293916139529e-05,1.771140360300393e-05,0.00010788925170558545,7.117845227694023e-05,3.689838521109737e-05,9.670128247752555e-05,2.8529291106459695e-05,1.7810617888155108e-05
param_lambd,0.06744142880191764,6.820304610282642e-06,3.691112355585648e-10,7.466755475326415e-08,4.095977201171908e-10,6.191832679708118e-10,1.6860774438140667e-09,1.831006992809021e-09,5.449324741070693e-05,1.425652653940952e-06,5.47897399260698e-08,1.190636532404028e-06,3.8283900696046246e-07,1.4067991488813715e-07,0.0007444730319858687,9.717664044917822e-05,0.017070473871111536,6.015665413792043e-07,0.0753733762767629,7.153617906973024e-08,5.457746877881215e-07,6.399632076201906e-09,2.2930834566764687e-06,8.820183032817639e-09,0.00013769790540332953,0.00022180280619233942,4.067002866847691e-06,2.873125417520549e-09,0.050538880663390136,0.013612155532378082,7.723660523814535e-08,5.6130957488634995e-05,8.155628924823493e-09,0.0008575593307149977,3.821755290369136e-06,0.00017352517801020733,0.058451216362974734,4.332011498882781e-08,0.00011367014328293353,1.249347130180642e-07,2.458760789783302e-07,1.7655112408030807e-09,0.00010892041119939771,4.66106987003282e-10,0.012649157277618587,1.7637697863854557e-08,5.637859095254741e-07,0.07546923548046316,5.407176796396551e-07,0.006783105916099534,1.0958441843843233e-10,6.52634017373234e-10,1.2520649364855182e-09,2.2163779101678463e-10,8.279311868640194e-05,0.0002796660344287765,1.0385578126609038e-06,1.7014255506817413e-10,4.596327552312108e-07,0.002597431318946716,5.78696197252695e-07,0.02517286203050643,1.2659707645702341e-10,1.723198978791397e-08,2.2567740761989494e-05,0.06286413304745508,2.741260834650801e-10,1.597171259583784e-08,1.9269148725010877e-07,0.001872300228964002,3.6408979791908002e-06,1.9072353329779805e-07,2.380044779857308e-10,3.074258016079217e-07,0.014386066180482536,2.382333521402063e-06,7.882837066509961e-09,6.415287174164856e-07,0.04176441471337639,5.170203294632547e-06,1.0254761759381046e-10,1.2442777529707487e-05,0.00412111403608371,0.029223668610573524,3.1401460599412234e-09,0.0008393175605695857,1.7784164998966916e-08,3.5758971531368765e-10,3.7659647910440034e-10,8.291558430709005e-05,1.073698902260316e-09,0.0026716265817128856,1.1177914489669957e-08,3.0104281262400667e-07,2.296907820222304e-06,1.1905065749232552e-08,0.04247806720961464,4.305928361485788e-05,0.0008495832455545889,0.06651932605719721
param_learning_rate,5.645890330223642e-05,0.006445098818473622,3.589051502301528e-05,0.00019877165111416997,0.0036660343522134293,3.411212689341881e-05,0.00013302354959001113,2.564030135890089e-05,0.00474133003481517,0.0008137886532752677,0.0005868916857166472,1.75606980719023e-05,0.0024564563698007877,0.0001530393265235047,0.00017460717508392567,0.00023940823341685625,2.09021240056553e-05,0.003820717239326893,1.710544228377341e-05,0.0001277323323524677,0.00010958238566929364,0.0055823206080808105,4.6194933411000834e-05,4.199907707335036e-05,4.4499891249414895e-05,0.0006156229318886584,9.129529334634071e-05,2.8775659056894777e-05,0.0004153465377754946,0.0003195489595775346,0.00047565510926577,0.0002175029624027905,1.3929247040825683e-05,0.0023496690583008355,0.0019372266272720139,3.479786998054404e-05,1.6747605018422047e-05,2.1749803513521766e-05,1.1607721655168068e-05,0.00015040641856226225,3.066831981468113e-05,1.1673032043330886e-05,0.0007755185133669757,0.00022579298291023882,0.004782096437534401,1.0365530050532816e-05,6.596972960037882e-05,0.004634308795673946,0.0016680369199905906,0.0009047611352164008,0.00034402737964665467,0.000653287195688596,0.00011008427850349583,0.0016268275361996378,0.007142594671161996,1.7746200664378705e-05,0.0020175479945203885,0.0008529205735858782,0.0014884152493925967,0.002996362235775243,1.1205936250645415e-05,0.0006249937687020666,8.473944982255491e-05,0.00010221559908549865,0.0030267279142798327,0.0003369756534064874,1.9401309712599753e-05,0.00037436099685068806,0.005312336564236045,0.003920623175893326,0.007008321871426712,3.522776949613061e-05,0.00016019104246845414,0.000373214703833006,0.0017619982304472846,0.0005789940772748463,2.7180722546146796e-05,6.89343799964354e-05,0.00011137896076878033,0.0016706349201545136,0.006962672164879781,0.00943793196813703,0.0022347881315438697,1.8414056691020283e-05,0.00020995102417101176,0.00040801594210009863,6.994005719834809e-05,0.002754653610369287,0.0036678499764293275,5.8864426736459684e-05,0.0006383833379778075,5.370532420470774e-05,0.004336773441079752,0.0022120181732534633,0.001404059941833786,0.0006647407994701778,0.0001577803953516871,5.736253263465347e-05,0.0006161879181743922,0.0013580314996376889
params,"{'lambd': 0.06744142880191764, 'learning_rate': 5.645890330223642e-05}","{'lambd': 6.820304610282642e-06, 'learning_rate': 0.006445098818473622}","{'lambd': 3.691112355585648e-10, 'learning_rate': 3.589051502301528e-05}","{'lambd': 7.466755475326415e-08, 'learning_rate': 0.00019877165111416997}","{'lambd': 4.095977201171908e-10, 'learning_rate': 0.0036660343522134293}","{'lambd': 6.191832679708118e-10, 'learning_rate': 3.411212689341881e-05}","{'lambd': 1.6860774438140667e-09, 'learning_rate': 0.00013302354959001113}","{'lambd': 1.831006992809021e-09, 'learning_rate': 2.564030135890089e-05}","{'lambd': 5.449324741070693e-05, 'learning_rate': 0.00474133003481517}","{'lambd': 1.425652653940952e-06, 'learning_rate': 0.0008137886532752677}","{'lambd': 5.47897399260698e-08, 'learning_rate': 0.0005868916857166472}","{'lambd': 1.190636532404028e-06, 'learning_rate': 1.75606980719023e-05}","{'lambd': 3.8283900696046246e-07, 'learning_rate': 0.0024564563698007877}","{'lambd': 1.4067991488813715e-07, 'learning_rate': 0.0001530393265235047}","{'lambd': 0.0007444730319858687, 'learning_rate': 0.00017460717508392567}","{'lambd': 9.717664044917822e-05, 'learning_rate': 0.00023940823341685625}","{'lambd': 0.017070473871111536, 'learning_rate': 2.09021240056553e-05}","{'lambd': 6.015665413792043e-07, 'learning_rate': 0.003820717239326893}","{'lambd': 0.0753733762767629, 'learning_rate': 1.710544228377341e-05}","{'lambd': 7.153617906973024e-08, 'learning_rate': 0.0001277323323524677}","{'lambd': 5.457746877881215e-07, 'learning_rate': 0.00010958238566929364}","{'lambd': 6.399632076201906e-09, 'learning_rate': 0.0055823206080808105}","{'lambd': 2.2930834566764687e-06, 'learning_rate': 4.6194933411000834e-05}","{'lambd': 8.820183032817639e-09, 'learning_rate': 4.199907707335036e-05}","{'lambd': 0.00013769790540332953, 'learning_rate': 4.4499891249414895e-05}","{'lambd': 0.00022180280619233942, 'learning_rate': 0.0006156229318886584}","{'lambd': 4.067002866847691e-06, 'learning_rate': 9.129529334634071e-05}","{'lambd': 2.873125417520549e-09, 'learning_rate': 2.8775659056894777e-05}","{'lambd': 0.050538880663390136, 'learning_rate': 0.0004153465377754946}","{'lambd': 0.013612155532378082, 'learning_rate': 0.0003195489595775346}","{'lambd': 7.723660523814535e-08, 'learning_rate': 0.00047565510926577}","{'lambd': 5.6130957488634995e-05, 'learning_rate': 0.0002175029624027905}","{'lambd': 8.155628924823493e-09, 'learning_rate': 1.3929247040825683e-05}","{'lambd': 0.0008575593307149977, 'learning_rate': 0.0023496690583008355}","{'lambd': 3.821755290369136e-06, 'learning_rate': 0.0019372266272720139}","{'lambd': 0.00017352517801020733, 'learning_rate': 3.479786998054404e-05}","{'lambd': 0.058451216362974734, 'learning_rate': 1.6747605018422047e-05}","{'lambd': 4.332011498882781e-08, 'learning_rate': 2.1749803513521766e-05}","{'lambd': 0.00011367014328293353, 'learning_rate': 1.1607721655168068e-05}","{'lambd': 1.249347130180642e-07, 'learning_rate': 0.00015040641856226225}","{'lambd': 2.458760789783302e-07, 'learning_rate': 3.066831981468113e-05}","{'lambd': 1.7655112408030807e-09, 'learning_rate': 1.1673032043330886e-05}","{'lambd': 0.00010892041119939771, 'learning_rate': 0.0007755185133669757}","{'lambd': 4.66106987003282e-10, 'learning_rate': 0.00022579298291023882}","{'lambd': 0.012649157277618587, 'learning_rate': 0.004782096437534401}","{'lambd': 1.7637697863854557e-08, 'learning_rate': 1.0365530050532816e-05}","{'lambd': 5.637859095254741e-07, 'learning_rate': 6.596972960037882e-05}","{'lambd': 0.07546923548046316, 'learning_rate': 0.004634308795673946}","{'lambd': 5.407176796396551e-07, 'learning_rate': 0.0016680369199905906}","{'lambd': 0.006783105916099534, 'learning_rate': 0.0009047611352164008}","{'lambd': 1.0958441843843233e-10, 'learning_rate': 0.00034402737964665467}","{'lambd': 6.52634017373234e-10, 'learning_rate': 0.000653287195688596}","{'lambd': 1.2520649364855182e-09, 'learning_rate': 0.00011008427850349583}","{'lambd': 2.2163779101678463e-10, 'learning_rate': 0.0016268275361996378}","{'lambd': 8.279311868640194e-05, 'learning_rate': 0.007142594671161996}","{'lambd': 0.0002796660344287765, 'learning_rate': 1.7746200664378705e-05}","{'lambd': 1.0385578126609038e-06, 'learning_rate': 0.0020175479945203885}","{'lambd': 1.7014255506817413e-10, 'learning_rate': 0.0008529205735858782}","{'lambd': 4.596327552312108e-07, 'learning_rate': 0.0014884152493925967}","{'lambd': 0.002597431318946716, 'learning_rate': 0.002996362235775243}","{'lambd': 5.78696197252695e-07, 'learning_rate': 1.1205936250645415e-05}","{'lambd': 0.02517286203050643, 'learning_rate': 0.0006249937687020666}","{'lambd': 1.2659707645702341e-10, 'learning_rate': 8.473944982255491e-05}","{'lambd': 1.723198978791397e-08, 'learning_rate': 0.00010221559908549865}","{'lambd': 2.2567740761989494e-05, 'learning_rate': 0.0030267279142798327}","{'lambd': 0.06286413304745508, 'learning_rate': 0.0003369756534064874}","{'lambd': 2.741260834650801e-10, 'learning_rate': 1.9401309712599753e-05}","{'lambd': 1.597171259583784e-08, 'learning_rate': 0.00037436099685068806}","{'lambd': 1.9269148725010877e-07, 'learning_rate': 0.005312336564236045}","{'lambd': 0.001872300228964002, 'learning_rate': 0.003920623175893326}","{'lambd': 3.6408979791908002e-06, 'learning_rate': 0.007008321871426712}","{'lambd': 1.9072353329779805e-07, 'learning_rate': 3.522776949613061e-05}","{'lambd': 2.380044779857308e-10, 'learning_rate': 0.00016019104246845414}","{'lambd': 3.074258016079217e-07, 'learning_rate': 0.000373214703833006}","{'lambd': 0.014386066180482536, 'learning_rate': 0.0017619982304472846}","{'lambd': 2.382333521402063e-06, 'learning_rate': 0.0005789940772748463}","{'lambd': 7.882837066509961e-09, 'learning_rate': 2.7180722546146796e-05}","{'lambd': 6.415287174164856e-07, 'learning_rate': 6.89343799964354e-05}","{'lambd': 0.04176441471337639, 'learning_rate': 0.00011137896076878033}","{'lambd': 5.170203294632547e-06, 'learning_rate': 0.0016706349201545136}","{'lambd': 1.0254761759381046e-10, 'learning_rate': 0.006962672164879781}","{'lambd': 1.2442777529707487e-05, 'learning_rate': 0.00943793196813703}","{'lambd': 0.00412111403608371, 'learning_rate': 0.0022347881315438697}","{'lambd': 0.029223668610573524, 'learning_rate': 1.8414056691020283e-05}","{'lambd': 3.1401460599412234e-09, 'learning_rate': 0.00020995102417101176}","{'lambd': 0.0008393175605695857, 'learning_rate': 0.00040801594210009863}","{'lambd': 1.7784164998966916e-08, 'learning_rate': 6.994005719834809e-05}","{'lambd': 3.5758971531368765e-10, 'learning_rate': 0.002754653610369287}","{'lambd': 3.7659647910440034e-10, 'learning_rate': 0.0036678499764293275}","{'lambd': 8.291558430709005e-05, 'learning_rate': 5.8864426736459684e-05}","{'lambd': 1.073698902260316e-09, 'learning_rate': 0.0006383833379778075}","{'lambd': 0.0026716265817128856, 'learning_rate': 5.370532420470774e-05}","{'lambd': 1.1177914489669957e-08, 'learning_rate': 0.004336773441079752}","{'lambd': 3.0104281262400667e-07, 'learning_rate': 0.0022120181732534633}","{'lambd': 2.296907820222304e-06, 'learning_rate': 0.001404059941833786}","{'lambd': 1.1905065749232552e-08, 'learning_rate': 0.0006647407994701778}","{'lambd': 0.04247806720961464, 'learning_rate': 0.0001577803953516871}","{'lambd': 4.305928361485788e-05, 'learning_rate': 5.736253263465347e-05}","{'lambd': 0.0008495832455545889, 'learning_rate': 0.0006161879181743922}","{'lambd': 0.06651932605719721, 'learning_rate': 0.0013580314996376889}"
split0_test_score,-0.005989562049671715,-1.0,-0.05861146539130768,0.026578627142996192,-1.0,-0.12328293527892775,0.08578656149764341,0.06932552832298866,-1.0,0.007612997308256819,0.004888633466114789,-0.1503028503494832,0.027963142554791376,-0.09374713737651486,0.0408744923355403,0.03882851868353521,0.0015793637779998315,-1.0,-0.025355139634387402,-0.06515653784145736,-0.13549363273984483,-1.0,-0.0921255218934185,-0.18669117417221837,-0.20292132394879836,0.04531024550607843,0.1373298121580142,0.0820737605864027,-0.0011397662661054575,0.03802074022021196,0.03894698113885897,-0.003764530627823337,-0.24136407936608384,-1.0,-1.0,0.07448299626526778,-0.014236798967359077,-0.07853446413973142,0.1295102511817997,0.08332265197763267,-0.20556800757465954,-0.08579452546806499,-0.0013281472170634245,0.11240085285891599,-1.0,-0.5637780018276948,0.025883763069750043,-1.0,-0.0022473803823797045,0.011774975830910583,-0.07008458212394553,0.03659126580575833,0.08550495578105066,-1.0,-1.0,-0.0972549276334791,-1.0,0.002696292864300731,-1.0,-1.0,0.08963538912790914,0.0019624222867334895,0.013894809517467355,0.05839272820616159,-1.0,-0.0017529074108215692,-0.22428985861573336,-0.004951952117053793,-1.0,-1.0,-1.0,-8.011348810543772e-05,0.045242671534248546,0.03165462993737156,-1.0,0.04638903385686033,-0.3197694504920756,0.03287941458837562,-0.0015086904723846661,-0.0025398779087777434,-1.0,-1.0,-1.0,-0.002649037187585801,-0.010084322168190774,0.04630345395406654,0.026541899211632303,-1.0,-1.0,-0.06601567826265797,-0.014361086607477258,-0.22807793787456299,-1.0,-1.0,0.00025770887376996843,0.033075508937827625,-0.0015906078921563704,0.05741809839454748,0.0015761473605783172,-0.0009362782051434149
split1_test_score,-0.0019074232174862704,-1.0,0.09923687039453533,0.12398410695748874,-1.0,-0.06265626128679092,-0.008093135221137526,-0.3888737438288179,-1.0,0.006974231235218009,0.0666815955561878,0.02469527193015253,-1.0,-0.001664096257238068,-0.09069154666746959,-0.009565901469482219,0.0413234687122398,-1.0,-0.0014684013070878077,0.019683300332792864,0.024616326114629716,-1.0,-0.2492550693549176,-0.01641372576543154,-0.07026999449625704,-0.017928639260836654,0.14665892599918529,0.04229412566713642,-0.010626336524672153,0.05728128447666403,-0.021203243778412872,0.10376660053399533,0.10091319673120447,-1.0,-1.0,0.11309300801618882,-0.0001273548255231738,-0.662420626462707,-0.06264277849393252,-0.02847758867995931,-0.6639482339609248,-0.6119735905916737,-0.002691886322699899,0.009766340589082434,-1.0,0.16640517733764348,-0.17826739622558962,-1.0,-0.016973437077796527,-0.009306980435918488,0.03894023307973793,0.02375184894932625,0.17597752051450455,-1.0,-1.0,0.06804870578227173,-1.0,0.007050993740092437,-0.014685933004761953,-1.0,-0.13071406982213896,-0.005655896573827812,-0.07034710643763309,-0.022781697401822898,-1.0,-0.009428772074565828,-0.06572831727803341,0.013725259762546571,-1.0,-1.0,-1.0,-0.04793625365275789,0.06326581597541836,0.034307102418221325,-0.005562614739135441,0.011705855080461403,-0.05038863893642187,-0.12762017759937527,-0.007416759757824076,-0.01199645574156949,-1.0,-1.0,-1.0,-0.00010278362398796759,0.06460509506857481,-0.07920610120666938,0.09885589522331517,-1.0,-1.0,-0.42879508050741433,-0.08623950819892512,0.08525424576918472,-1.0,-1.0,0.058881034805220445,-0.008085516658190794,-0.008039843113335943,-0.011046959097294806,0.025221698188552355,-0.011972915100646242
split2_test_score,-0.11678745905203836,-1.0,-0.4824713063676067,-0.07699050808521113,-1.0,-0.07806553975215369,-0.1486697889620361,-0.38002662776077023,-1.0,-0.05615748566212497,-0.06217561283855311,-0.13653144703882192,-1.0,-0.06112123937465008,-0.08063114597221732,-0.22582081337447613,-0.06009510096442083,-1.0,-0.14782192698207397,-0.0867135608825742,-0.07974374880118318,-1.0,-0.10303917663922024,-0.17367628852842376,-0.05725507690243292,-0.060866310471717755,-0.11481496198475405,-0.24449676997403635,-0.06099626155603999,-0.06276555843264742,-0.06262836654941184,-0.08521153852624463,-0.31818019577173806,-1.0,-1.0,-0.4757033078350801,-0.14575223735756104,-0.2284860602079022,-0.14887784756821576,-0.07112928098804083,-0.4211992670973952,-0.1316441359771876,-0.0526750846107884,-0.07533825426814933,-1.0,-0.35890824624589523,-0.158011626438203,-1.0,-1.0,-0.060302003774771906,-0.08040394824584896,-0.05716113866483297,-0.0336348263066113,-0.056858334944720035,-1.0,-0.34375825882959443,-0.05681597123785731,-0.056741871729554916,-0.05701699151530826,-1.0,-0.30541528220625946,-0.04905842578305686,-0.10795107709585161,-0.08589173555653362,-1.0,-0.05871946494490876,-0.2279144561062305,-0.08490696025012379,-1.0,-1.0,-1.0,-0.5832225395644994,-0.14039192636773556,-0.10165073430526372,-0.05733830294043929,-0.052953027447148804,-0.09494506172761907,-0.0641805561688571,-0.06934363540162614,-1.0,-1.0,-1.0,-0.05623969438487797,-0.11543271222118623,-0.0633689835302147,-0.0638639531611247,-0.29198746855200586,-1.0,-1.0,-0.12285920142104167,-0.05569199190905483,-0.18283454254171083,-1.0,-1.0,-0.05703845031239485,-0.04692379569142502,-0.0674577820855995,-0.17082190876078185,-0.05661205854667051,-0.058919164065875274
